class,argtype,text,argtypetext,argtypetextstart,argtypetextend
1,2,"The modern times have witnessed profound changes in most aspects of life, including the revolution of feminism. Women have been opened up to more chances than ever. This, contrary to some ideas, is a positive progress in human society from my point of view.",children might enjoy less care from parents as they arre both busy with theit work,1545,1627
1,4,"The last 50 years have seen an increasing number of immigrants to other countries. People moved due to a number of reasons, namely better educations or higher salary jobs. Some people thought that they should follow the local customs in order to integrate into their adopted countriesâ€™ cultures. However I strongly believe that they are able to sustain their cultural identities and doing so help they keep their origin values.",they should follow the local customs in order to integrate into their adopted countriesâ€™ cultures,260,357
1,2,"It is certainly true that some languages are disappearing day by day over the world. Some people, therefore, harbour a view saying that governments should preserve those by spending some budgets on them. But the others do not believe it is possible. In my opinion, this viewpoint needs to be examined thoroughly and this essay will discuss this issue.","If they do not try their best, their protection can be halted and waste of money",1465,1545
1,2,"Education is important for the development of the world. Its a debatable issue whether universities should accept equal number of males and females in a course or not. However, since both genders are equally important, both must be given equal opportunities. Universities must admit both in equal numbers, depending on their choices.",a healthy competitive environment will develop,694,740
1,2,"International sporting events are a good change to create a multi-nation community of fans having the same passion. It will help people around the world understand each other more. Since, international sporting occasions are essential in easing international tensions and releasing patriotic emotions in a safe way.",It is rare times when people can learn about this country,943,1000
1,4,"Nowadays, whether to establish large factories nearby housing areas has become a controversial issue in our society. Out of the case of economic development, industrial buildings are a necessary part of modern society. However a vast number of people are against building a factory near their community because of pollution. From my point of view, the advantages of building a factory will outweigh its disadvantages, if we tackle the environmental problems brought by factories.",a large factory can stimulate local economic growth and reduce the unemployment rate,522,606
1,2,"Crime is always punishable. Retribution is the method for countering criminals. Some countries have stringent rules, like capital punishment, while other have a lot of flexibility in the judicial system. However, strict laws, like capital punishment, are essential in a society.",capital punishment saves a lot of government funding which is wasted in maintenance of these hardcore criminals,917,1028
1,2,The soaring crime rate has led to the proposal that it is time for the government to take action to control the proliferation of violent scenes in media.,"media, such as TV or film, is considered as the correct information source regulated by the government",628,730
1,2,"International sporting events are a good change to create a multi-nation community of fans having the same passion. It will help people around the world understand each other more. Since, international sporting occasions are essential in easing international tensions and releasing patriotic emotions in a safe way.","in FIFA World Cup 2010, the relation between North Korea and South Korea is dangerous for the warship sinking",699,808
1,2,The soaring crime rate has led to the proposal that it is time for the government to take action to control the proliferation of violent scenes in media.,"Violence, as one of the facts in the real world, certainly has to be reported",802,879
1,2,"With the rapid development of the standard of people's life, increasing numbers of animal experiments are done, new medicines and foods, for instance. Some opponents says that it is cruel to animals and nature, however, I believe that no sensible person will deny that it is a dramatically cruel activity to humanity if the latest foods or medicines are allowed to sold without testing on animals. In my essay, I will discuss this issue from twofold aspects.",animals are friendly and vital for people,540,581
1,2,"How to allocate governmental budget efficiently has always been a hot topic of discussion among the public. Recently, some people argue that government should invest more on medical care and education rather than on entertaining or sports facilities. As far as I am concerned, this proposal is beneficial more to the society.","Entertaining facilities such as cinemas, theaters and sports stadiums are mostly profit-oriented",848,944
